theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.271699665970529e-14,1.112641273509629e-14,6.021836698614233e-15,3.6262517224777165e-29,(1.0153320050427913e-14+0j),7.512356087656275e-15,8.433831872582585e-15,2.97663533322844e-15,8.860357907023985e-30,(8.433831872582585e-15+0j),7.130376458831136e-15,6.904163869655022e-15,4.407095756288684e-15,1.942249300509773e-29,(1.053480669903417e-14+0j),7.348532929902611e-15,7.187590419761436e-15,2.554101558559564e-15,6.523434771436394e-30,(1.0045444017809554e-14+0j),7.27249870185135e-15,5.759182118645188e-15,3.700582112689557e-15,1.3694307972757903e-29,(4.5087986651418195e-15+0j),frustrated
1.8138712297316466e-14,1.4601686576613387e-14,1.0090135401001988e-14,1.0181083241055355e-28,(1.8663557880191443e-14+0j),1.8405087058595277e-14,1.8880689656365146e-14,6.990981149019187e-15,4.887381742594163e-29,(7.974460437029722e-15+0j),1.1605048670309633e-14,1.0223224011081175e-14,5.775043575817905e-15,3.335112830259566e-29,(8.592537933486535e-15+0j),8.285221639788212e-15,7.882368407947545e-15,2.5597493573665645e-15,6.55231677253854e-30,(1.2359275299211401e-14+0j),5.351124463554254e-15,4.349268544322534e-15,2.261032713456184e-15,5.112268931319035e-30,(7.521408839023286e-15+0j),frustrated
3.506360816483287e-14,1.9421366265752318e-14,3.100612069645144e-14,9.613795206429142e-28,(4.3115419885309314e-15+0j),2.927066664541404e-14,1.5313499122548034e-14,2.6498636936514743e-14,7.021777594932234e-28,(5.733176601887254e-15+0j),1.9217055313664294e-14,1.6881526070351442e-14,8.410357440134434e-15,7.073411227082463e-29,(9.834871082514525e-15+0j),1.1334388663100635e-14,1.0606610757695997e-14,4.836423511767625e-15,2.3390992385178688e-29,(5.809237355869977e-15+0j),6.286183550276416e-15,3.79681874878446e-15,6.247301502441485e-15,3.902877606240764e-29,(2.190234341987007e-15+0j),frustrated
1.289354605438294e-14,1.0123632342561426e-14,7.49619120055642e-15,5.61928825152995e-29,(6.73934193905894e-15+0j),1.2945440831695677e-14,1.4325648686982878e-14,4.858432620869191e-15,2.3604367531525876e-29,(2.1360872709039204e-14+0j),1.0556952903719497e-14,1.093603251307576e-14,4.713411706526073e-15,2.2216249915217022e-29,(8.792537601792792e-15+0j),8.590651950465839e-15,8.142475284414775e-15,2.9423538558466235e-15,8.657446213015493e-30,(5.367164100905274e-15+0j),2.845964925280014e-15,2.9223460722048664e-15,7.404178285697772e-16,5.482185608639841e-31,(3.2961459956815356e-15+0j),frustrated
1.4614637687880388e-14,1.0850337631741305e-14,8.61254728514896e-15,7.417597073892671e-29,(1.0850337631741305e-14+0j),1.5110855698278584e-14,1.5104666373655907e-14,6.2344585424191865e-15,3.886847331714357e-29,(1.2808612196685113e-14+0j),7.559963590438534e-15,6.81299552146865e-15,2.3012266914371526e-15,5.2956442853827846e-30,(5.314964691737603e-15+0j),6.529065697818667e-15,6.4268047826315605e-15,1.4617736455052082e-15,2.136782190693586e-30,(7.574236038177222e-15+0j),4.163613358664255e-15,3.977387954712384e-15,1.243839193704955e-15,1.5471359397965925e-30,(5.7584121728941256e-15+0j),frustrated
8.712227000373948e-15,5.27958017356216e-15,8.531611412265643e-15,7.278839328990135e-29,(2.95476818622104e-14+0j),7.802432995374705e-15,8.175001980684796e-15,2.0590764549620205e-15,4.239795847378961e-30,(1.1693694583854642e-14+0j),9.316916686723985e-15,1.0081425127764438e-14,2.6692537073605403e-15,7.124915354257988e-30,(7.59891173572075e-15+0j),6.367821906734977e-15,5.719645846165052e-15,1.8900361023034618e-15,3.5722364680104625e-30,(4.6996256360369705e-15+0j),5.7373739495320395e-15,5.4379124930087545e-15,2.2219652568921907e-15,4.937129602835979e-30,(2.9087430592803792e-15+0j),frustrated
1.3815720309494418e-14,1.4128896223045557e-14,9.640679823167505e-15,9.294270745282904e-29,(1.7572990040928968e-14+0j),1.5454405203702918e-14,1.0186757493230925e-14,1.434056407423001e-14,2.0565177796709645e-28,(6.602538840511332e-15+0j),9.768112539397005e-15,6.9720959747190335e-15,8.007291809634332e-15,6.411672212463704e-29,(3.721529046715815e-15+0j),6.52961433581369e-15,4.810046374602366e-15,2.6801240841139036e-15,7.18306510624739e-30,(4.920467113167761e-15+0j),5.0156834626406595e-15,5.359983478787243e-15,1.520751752998852e-15,2.312685894249081e-30,(5.359983478787243e-15+0j),frustrated
2.028280418703502e-14,1.900960645897955e-14,1.2547363674965044e-14,1.574363351918323e-28,(1.7794664261644707e-14+0j),1.4083244561247735e-14,1.2547318747800464e-14,7.791041810013557e-15,6.070033248537931e-29,(2.4053746782443553e-14+0j),6.9930306904255445e-15,7.014346329826761e-15,1.964615532364904e-15,3.859714190009435e-30,(8.015619231962672e-15+0j),6.6368464430530586e-15,6.311956296064856e-15,1.971875524696011e-15,3.888293084895169e-30,(6.652646821150482e-15+0j),4.238521819370452e-15,5.118724962881582e-15,1.3987582339700565e-15,1.9565245970990315e-30,(5.118724962881582e-15+0j),frustrated
1.008520915508847e-14,8.035021361774773e-15,7.99406073717935e-15,6.390500706971247e-29,(7.77787871488182e-15+0j),1.032475985698923e-14,7.904012361600394e-15,8.855607266426088e-15,7.842178005717853e-29,(5.186463358149172e-15+0j),1.0796575555666158e-14,8.106801222961615e-15,8.857396748919289e-15,7.845347716776598e-29,(7.78467745030143e-15+0j),7.032454127810102e-15,6.804154472326279e-15,1.0053716554441298e-15,1.01077216557047e-30,(6.434052162648418e-15+0j),4.265251643963646e-15,3.672827378204575e-15,1.8621518861314136e-15,3.4676096470227816e-30,(5.820591288753681e-15+0j),frustrated
1.4565717767357402e-14,1.6994665549587085e-14,6.2711772353101115e-15,3.9327663916671775e-29,(2.0464631190674362e-14+0j),1.1681453675235811e-14,1.169955742660792e-14,4.786632303133785e-15,2.2911848805403847e-29,(8.932513908265022e-15+0j),1.0817477555557108e-14,1.0220197044453089e-14,4.495489358061158e-15,2.0209424568441126e-29,(4.309950008004786e-15+0j),7.860693836258924e-15,6.964411444196696e-15,3.5424233459543397e-15,1.2548763161962339e-29,(9.129629194518449e-15+0j),5.870594632076606e-15,6.291490233775316e-15,2.1578014184824267e-15,4.6561069616047726e-30,(7.064452552927678e-15+0j),frustrated
