theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.7856603713528228e-14,1.6750913653622852e-14,9.771446635912882e-15,9.548116935849317e-29,(4.161629774857284e-14+0j),1.2657300751189463e-14,9.872210394285368e-15,6.544449813381676e-15,4.282982335987145e-29,(1.899849796664432e-14+0j),1.1539667014551594e-14,8.47869957311532e-15,6.8445289960213605e-15,4.684757717737717e-29,(1.9725531400149727e-14+0j),6.879328758690309e-15,7.427469038087897e-15,3.553572210141841e-15,1.2627875452692363e-29,(1.5688502716869016e-14+0j),5.285932119152962e-15,4.436037188411441e-15,2.761065984255237e-15,7.623485369411339e-30,(8.671068607595416e-15+0j),frustrated
3.6540218396132436e-14,3.411510701355941e-14,2.2194736993929788e-14,4.926063502297155e-28,(1.3705666331979705e-14+0j),2.3057451870049472e-14,1.9204683902311573e-14,1.0350407955829047e-14,1.0713094485208924e-28,(1.5563555891555256e-14+0j),1.615425720293025e-14,1.4348640981591718e-14,8.674179353291375e-15,7.524138745306638e-29,(6.856619028081856e-15+0j),1.140444929272815e-14,1.0934755134649632e-14,2.329342617668859e-15,5.425837030488412e-30,(9.521758615464864e-15+0j),6.621211386963917e-15,5.847591698213861e-15,2.0922313526700392e-15,4.377432033095501e-30,(4.461487522784301e-15+0j),frustrated
2.6076318100925963e-14,1.9177606169679956e-14,2.2994599250817278e-14,5.287515947056865e-28,(1.9788718636778072e-14+0j),3.708304220069731e-14,2.1640917880599337e-14,3.3713537520633603e-14,1.1366026121551697e-27,(2.323256410011371e-14+0j),2.8844360715411515e-14,2.246823806892843e-14,2.0475932593889798e-14,4.192638155895185e-28,(2.4030864984501523e-14+0j),1.6325507468657262e-14,1.619212191303069e-14,7.136704041606893e-15,5.093254457748815e-29,(1.8120521491491085e-14+0j),1.0147739781920786e-14,9.205095281689504e-15,3.01402818700565e-15,9.084365912064566e-30,(7.339890022003507e-15+0j),frustrated
1.6946246911147e-14,1.726146734405107e-14,9.512436056474647e-15,9.048643972851893e-29,(1.9561549185777188e-14+0j),2.4049499339812612e-14,1.9299438829512066e-14,1.4165278566159048e-14,2.0065511685688494e-28,(1.789899514568181e-14+0j),1.3714184147500275e-14,1.1106349023416461e-14,9.104258642106215e-15,8.288752542236571e-29,(6.999125249133273e-15+0j),1.0459195949398464e-14,1.0892483290641136e-14,2.998233878975866e-15,8.989406393038668e-30,(4.9109694255396285e-15+0j),8.915186134503557e-15,8.483821134670758e-15,4.523584664941354e-15,2.0462818220892576e-29,(1.0255985519514007e-14+0j),frustrated
1.816775851632695e-14,1.4883220367027475e-14,5.61628877731937e-15,3.1542699630243505e-29,(1.4883220367027475e-14+0j),2.199333489047493e-14,2.021294624548812e-14,8.734534972840193e-15,7.629210119176844e-29,(2.167651837955906e-14+0j),1.8157667409737953e-14,1.581746974315062e-14,1.1964409614349897e-14,1.4314709741994826e-28,(1.5194607425608012e-14+0j),1.2794873014400817e-14,1.434264213719163e-14,4.860838005630601e-15,2.362774611698288e-29,(1.4735785349676916e-14+0j),9.197814989935091e-15,9.311755498494553e-15,2.668097891838888e-15,7.11874636043512e-30,(1.3211391974887675e-14+0j),frustrated
3.254340456161239e-14,1.8727510743604766e-14,3.101976612578771e-14,9.622258904985667e-28,(1.9393768404360015e-14+0j),2.479814303257746e-14,2.4493646120644624e-14,9.588626071759865e-15,9.194174994403302e-29,(3.454025530015916e-14+0j),1.8618996234099476e-14,1.785435000741033e-14,7.029836269573369e-15,4.941859797700922e-29,(2.8457353984648845e-14+0j),1.2288344975130614e-14,1.222969155634835e-14,4.653970196466971e-15,2.165943858960282e-29,(1.504090534040963e-14+0j),9.632346640877266e-15,1.0156186826341264e-14,3.3471304104040805e-15,1.1203281984251789e-29,(5.475468207766572e-15+0j),frustrated
1.561620457748267e-14,1.7688508209855942e-14,7.0237964445125196e-15,4.933371649394671e-29,(7.943725615476994e-15+0j),1.8291086384798057e-14,1.7027481051692812e-14,1.221265476452459e-14,1.4914893639746516e-28,(1.4706334183713176e-14+0j),1.8492409325243287e-14,1.1491436686848299e-14,1.2051920415751827e-14,1.452487857076157e-28,(1.3925493453323153e-14+0j),1.5851743725609437e-14,1.514316894792679e-14,3.696250682282596e-15,1.3662269106274553e-29,(1.6567326524634436e-14+0j),6.547206037167486e-15,6.705787653825849e-15,2.032927219545937e-15,4.132793079970775e-30,(3.62931296591187e-15+0j),frustrated
2.1683610906630353e-14,1.7712022006786498e-14,1.0607513182269005e-14,1.125193359120107e-28,(4.267153928197342e-14+0j),2.7533510618880896e-14,2.876906817968212e-14,1.2845432019390318e-14,1.6500512376477801e-28,(4.229726332468091e-14+0j),2.2642599859797175e-14,2.1286587986974826e-14,8.69151126491238e-15,7.554236806809879e-29,(1.444736554906169e-14+0j),1.0092371947838507e-14,1.0717784411424003e-14,4.345684000003486e-15,1.8884969427886297e-29,(1.1308697306773397e-14+0j),6.3193233915412564e-15,3.606272633555384e-15,4.345514886997956e-15,1.8883499633120858e-29,(1.472448145338535e-14+0j),frustrated
1.87973785191706e-14,1.489528251531054e-14,1.4623475110519212e-14,2.138460243079749e-28,(3.278012867343333e-14+0j),1.3521088779650612e-14,9.793188669342204e-15,1.029985405853509e-14,1.0608699362712179e-28,(1.7301056256871042e-14+0j),7.042187137740258e-15,7.578525206138868e-15,2.313549516728023e-15,5.352511366352469e-30,(1.0566879139976723e-14+0j),9.08971460147027e-15,9.01991118713278e-15,3.2227142058201667e-15,1.0385886852395108e-29,(7.281486223222308e-15+0j),3.0691947637492224e-15,3.0978344472471777e-15,1.7168149615995676e-15,2.9474536123721246e-30,(7.504758227055695e-15+0j),frustrated
1.8415153309866707e-14,1.7022461126275065e-14,8.60361510611421e-15,7.402219289415664e-29,(1.1275707572170265e-14+0j),1.8171727883031045e-14,1.8207248425604963e-14,1.0906236378931722e-14,1.189459919531337e-28,(4.857425310438684e-15+0j),1.5503150861185192e-14,1.2100794171207084e-14,1.0502236144200134e-14,1.102969640285437e-28,(1.1071077581863254e-14+0j),9.8540743131771e-15,1.0019670408219136e-14,3.864620995450173e-15,1.4935295438474286e-29,(1.0005037381597439e-14+0j),7.15103528765016e-15,6.470202808548364e-15,4.5344164189347994e-15,2.0560932260305488e-29,(3.063498714031224e-15+0j),frustrated
