theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
2.570890740686396e-14,3.0451278141356386e-14,8.79641344969372e-15,7.737688957795256e-29,(2.1194472290193268e-14+0j),1.683944759923203e-14,1.1369460745107485e-14,1.1574953528534129e-14,1.3397954918772468e-28,(4.641997876254512e-14+0j),1.886054652079967e-14,1.882473226988104e-14,9.980542142307671e-15,9.961122145437939e-29,(4.342851017617062e-14+0j),2.763061867785743e-14,2.86005568276125e-14,1.0901757444240718e-14,1.1884831537305791e-28,(3.852044302965942e-14+0j),3.9453769344060455e-14,3.902939878957711e-14,5.146166355847934e-15,2.648302816206121e-29,(3.902939878957711e-14+0j),calm
1.6666460806896114e-14,9.823488764100738e-15,1.3538788103411235e-14,1.832987833090696e-28,(7.792154788344886e-15+0j),3.359609523859158e-14,1.9976542669644558e-14,2.7594780122062262e-14,7.614718899849626e-28,(6.425774459018977e-15+0j),3.139958927738154e-14,3.9759369124612665e-14,1.3879452296581492e-14,1.9263919605308125e-28,(1.2338034774427788e-14+0j),2.868579325128847e-14,2.809579814262608e-14,7.136173902491023e-15,5.092497796659396e-29,(4.613219437747462e-14+0j),3.6210961291076675e-14,3.339551427810194e-14,7.574114636551332e-15,5.736721252762112e-29,(2.8418125329417403e-14+0j),calm
5.107508815786392e-14,4.831576102383371e-14,1.318386345735292e-14,1.7381425566212568e-28,(4.7535383351250665e-14+0j),2.424226032648467e-14,2.6089342494166185e-14,1.3784584543151293e-14,1.9001477102728555e-28,(1.6333512235600873e-14+0j),2.3986449813405482e-14,2.4706543515644194e-14,1.1328898620083978e-14,1.2834394394414065e-28,(9.157018027458067e-15+0j),2.8097093429042215e-14,2.809579814262608e-14,6.099384782126191e-15,3.7202494720432565e-29,(2.5134649771111013e-14+0j),5.6102897885917275e-14,5.032448865966401e-14,1.0311662971891492e-14,1.063303932458781e-28,(5.032448865966401e-14+0j),calm
2.2915819021862744e-14,1.496788664745049e-14,2.336038545910501e-14,5.457076087979648e-28,(8.847675655866571e-14+0j),1.971482172666107e-14,1.6333512235600873e-14,1.8072569863051983e-14,3.266177814548948e-28,(6.956591990401333e-14+0j),1.675357849339362e-14,1.661325388306695e-14,6.458905386830111e-15,4.171745879602302e-29,(2.5757916106551586e-14+0j),3.496218319376948e-14,3.782179213606392e-14,8.108551623290694e-15,6.574860942757015e-29,(4.4414158382737823e-14+0j),5.693392424642324e-14,6.586604557111554e-14,1.6677980662154914e-14,2.781550389672133e-28,(3.552444879424073e-14+0j),calm
2.4425292667913608e-14,2.03494191908117e-14,8.798555619125103e-15,7.741458098283794e-29,(1.8867206062437713e-14+0j),3.007911650964482e-14,3.009711263672352e-14,7.814184036109647e-17,6.106147215019086e-33,(3.016454474212599e-14+0j),1.6064426221807392e-14,1.277395657653522e-14,5.394864122462008e-15,2.9104558899827776e-29,(1.0667433059069384e-14+0j),3.248207682698112e-14,4.252618446953733e-14,1.3612338361517177e-14,1.8529575566843214e-28,(1.6316594749316048e-14+0j),5.908555895937798e-14,4.5857077403779043e-14,2.788655247211758e-14,7.776598087801671e-28,(4.866031512633978e-14+0j),calm
7.146202996665551e-14,3.8867539432808394e-14,6.668891501467437e-14,4.4474113858344606e-27,(5.616192427596162e-14+0j),7.644125504248639e-14,6.048374617453282e-14,6.560068258449964e-14,4.303449555552274e-27,(5.194104306165497e-14+0j),3.307887090180293e-14,4.690861330285845e-14,1.8706995026367444e-14,3.4995166291653625e-28,(3.1605562376884445e-14+0j),5.6558550679177846e-14,5.1315368986366455e-14,2.737195280823409e-14,7.49223800536194e-28,(8.182178548468807e-14+0j),5.672800432122424e-14,5.700934056705332e-14,4.0912757914034684e-15,1.673853760132408e-29,(5.840141498850372e-14+0j),calm
2.2297116668109066e-14,1.3701035619429929e-14,1.342976511259209e-14,1.8035859097939565e-28,(1.3701035619429929e-14+0j),2.2573383495144273e-14,2.3290477916646272e-14,1.4980374813974098e-14,2.244116295671495e-28,(7.402647835483555e-15+0j),2.2064823871167966e-14,2.432942853369477e-14,7.823493596699517e-15,6.120705205759835e-29,(1.6854080947339255e-14+0j),5.1562351316666277e-14,4.711374975764127e-14,1.8755963926912278e-14,3.517861828276347e-28,(5.3647400045048525e-14+0j),5.851215643678687e-14,5.840141498850372e-14,1.3983868533136528e-14,1.9554857915204594e-28,(5.692248058180904e-14+0j),calm
2.4646067710346645e-14,2.3664141887241424e-14,6.845544339513785e-15,4.686147730424923e-29,(1.510120080033259e-14+0j),2.6048550833959174e-14,2.5239822371106854e-14,1.3366599773094087e-14,1.7866598949407889e-28,(3.672672224927519e-14+0j),3.15589018911278e-14,1.4079568176115081e-14,2.652319692709237e-14,7.034799752333221e-28,(5.800121773939206e-14+0j),4.1455718264806945e-14,3.576726888140757e-14,2.2759732070482832e-14,5.180054039201647e-28,(1.0123871980052146e-13+0j),4.5003342800525585e-14,3.819643362471804e-14,1.3566002433695704e-14,1.8403642203103775e-28,(3.027107911353002e-14+0j),calm
1.3295762959723558e-12,1.8318407867889722e-13,1.7074671463236303e-12,2.9154440557745617e-24,(3.737473448735683e-12+0j),3.5083542772537486e-13,5.152398448764079e-14,4.3018484691354363e-13,1.8505900251402897e-25,(9.590677859864905e-13+0j),8.995034515732527e-14,5.608460684645698e-14,8.399626831224069e-14,7.055373090381929e-27,(2.0686742290695634e-13+0j),5.85724287749652e-14,5.388391202145212e-14,2.5938983190627052e-14,6.7283084896363275e-28,(6.82853079285312e-14+0j),9.647053642914287e-14,7.521773034452783e-14,4.1604528777745545e-14,1.730936814818257e-27,(1.5389496691489108e-13+0j),calm
4.2304513984185693e-13,1.4561612735865634e-13,4.1961581735658194e-13,1.7607743417583234e-25,(3.882707013144569e-14+0j),1.1429205637648168e-13,9.226042996985308e-14,1.1333665855143682e-13,1.2845198171604976e-26,(1.4522801108979103e-14+0j),6.247885156159404e-14,5.567455353599971e-14,4.116007901327558e-14,1.694152104379089e-27,(1.3228459265490453e-14+0j),8.110513031795434e-14,6.631196199038195e-14,5.05494931168555e-14,2.5552512543710212e-27,(3.1852303197027894e-14+0j),5.3739388921795576e-14,5.3500833169172635e-14,6.5611989598050366e-15,4.304933179014669e-29,(5.5902576150382293e-14+0j),calm
