theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
2.3358967311286107e-14,1.6408071756023636e-14,2.0593433245117155e-14,4.240894928210965e-28,(5.758902258757552e-14+0j),2.5177142691839597e-14,1.609842334697174e-14,1.955979246312332e-14,3.825854812004559e-28,(4.9718629490000846e-14+0j),1.609936749269749e-14,1.3499503215742133e-14,1.0199007831814584e-14,1.0401976075341524e-28,(2.9128564557807633e-14+0j),1.053390955763024e-14,1.108292443862169e-14,2.2154661456541203e-15,4.908290242539524e-30,(6.332729060785322e-15+0j),1.1227231161120321e-14,1.2837960809972802e-14,2.9269703921363523e-15,8.567155676442833e-30,(6.560269553256417e-15+0j),calm
1.1256700458008554e-14,1.3114434380857396e-14,5.572659969427383e-15,3.105453913485841e-29,(1.2012670111498733e-14+0j),1.4774296719611952e-14,1.4084297660157312e-14,1.3951032750547031e-14,1.9463131480683586e-28,(1.4084297660157312e-14+0j),1.0849632731003749e-14,8.843301394142162e-15,7.14295431070385e-15,5.102179628480272e-29,(8.979777855014769e-15+0j),1.4045909227154278e-14,1.0270164538607726e-14,7.679599599243522e-15,5.897625000470125e-29,(8.840233835856476e-15+0j),1.1941028090638763e-14,1.1574344066576032e-14,4.2693377658158964e-15,1.8227244958621868e-29,(9.61081806098428e-15+0j),calm
1.0162135475466481e-14,7.168943255376245e-15,6.488834186183009e-15,4.2104969095777316e-29,(1.7210991629262008e-14+0j),1.6933763670227958e-14,1.5510752942574026e-14,4.310046314583553e-15,1.857649923385527e-29,(1.5044735789266945e-14+0j),1.1976463650826045e-14,1.2414221872999793e-14,2.310480502321065e-15,5.3383201516058e-30,(1.4469212032551437e-14+0j),9.776483803985228e-15,1.0320892614621028e-14,1.206966263578195e-15,1.4567675614159088e-30,(1.0960774537214173e-14+0j),8.858784307402681e-15,9.680589078267291e-15,1.1302935182545124e-15,1.2775634374081636e-30,(7.0085174882585716e-15+0j),calm
1.908180334579887e-14,1.7210991629262008e-14,6.866685188699709e-15,4.7151365480707955e-29,(1.3860341210636263e-14+0j),9.384371094041998e-15,1.1013679515730273e-14,3.801005117627562e-15,1.444763990423092e-29,(1.1013679515730273e-14+0j),4.7877603626834155e-15,3.446356197628951e-15,4.1393303538457885e-15,1.7134055778269102e-29,(4.724261284870424e-15+0j),7.726721170899032e-15,5.768262649991426e-15,3.1232185157022923e-15,9.754493896825629e-30,(5.768262649991426e-15+0j),9.151362998326581e-15,1.0476815201497468e-14,2.070235226976158e-15,4.285873895013024e-30,(1.0476815201497468e-14+0j),calm
1.6702034347282654e-14,1.8339992153021552e-14,7.824740355806655e-15,6.122656163578926e-29,(1.9953133181295744e-15+0j),2.394758428287283e-14,2.732710366985393e-14,1.1108291485681562e-14,1.2339413973086547e-28,(1.0776667639446349e-14+0j),2.0890860341566646e-14,2.449626762194974e-14,9.5604376140798e-15,9.140196737271186e-29,(2.0026390132371126e-14+0j),1.8959633566170645e-14,1.7742528711599617e-14,8.623224356565436e-15,7.435999830366336e-29,(1.064662737456128e-14+0j),1.649120583702116e-14,1.631770456600128e-14,3.2383419198669785e-15,1.0486858389967747e-29,(1.5994950370822394e-14+0j),calm
1.422720842480723e-14,1.4093182633610357e-14,1.2076163019408593e-14,1.4583371327133168e-28,(1.4093182633610357e-14+0j),1.3396198421137263e-14,1.0776667639446349e-14,5.4820502782164596e-15,3.0052875252893163e-29,(9.24385042878439e-15+0j),1.293926059169395e-14,1.206256259819554e-14,3.6511129925170174e-15,1.333062608412657e-29,(9.780190512543831e-15+0j),1.3261637479612075e-14,1.2954750459704744e-14,3.4753103560167928e-15,1.2077782070637568e-29,(1.0512513859105897e-14+0j),1.3866171009282178e-14,1.3432126003093256e-14,1.6032509543007064e-15,2.5704136224661256e-30,(1.6696722895415536e-14+0j),calm
5.862915874056197e-14,5.561430847208391e-14,1.448349091336007e-14,2.0977150903738376e-28,(7.543236616680324e-14+0j),2.3518033234780342e-14,2.6550991275542563e-14,1.0933207564633216e-14,1.1953502765135297e-28,(4.2225435544477586e-14+0j),1.6581968856170237e-14,1.333010413290874e-14,1.046692089702281e-14,1.0955643306453278e-28,(4.2755805415615625e-14+0j),1.3398692826832798e-14,1.2982179980272035e-14,3.4101626891923067e-15,1.1629209566759305e-29,(1.545184610143817e-14+0j),1.5627811308155293e-14,1.6422155221395048e-14,1.902128938977801e-15,3.6180945004968146e-30,(1.2434443958626384e-14+0j),calm
2.480313129548891e-14,1.7262607498491106e-14,2.1938633505515412e-14,4.813036400893234e-28,(1.9814819879655895e-14+0j),1.5382285691856512e-14,4.5452545565550454e-15,1.6807880082121483e-14,2.825048328549761e-28,(1.7487193031824186e-15+0j),1.74448409882367e-14,7.112183083461831e-15,1.549658317060375e-14,2.4014408996343935e-28,(7.112183083461831e-15+0j),1.2192294721401848e-14,1.2990865210586336e-14,2.9265545752452854e-15,8.564721681889114e-30,(8.031245168730527e-15+0j),1.0055875975728506e-14,9.06445838472879e-15,3.6758472626950775e-15,1.3511853098662893e-29,(1.8859796909489517e-14+0j),calm
1.2422106905559745e-14,1.156166535549539e-14,4.318893064151794e-15,1.8652837299578477e-29,(6.966773332764486e-15+0j),8.827284420317225e-15,1.0270218402688326e-14,3.829512054702974e-15,1.4665162577115395e-29,(5.807071182635382e-15+0j),1.0285953851647679e-14,1.1179420954841979e-14,2.76161426558257e-15,7.626513351869158e-30,(1.3315123515710997e-14+0j),1.0437780856928333e-14,1.1548552902904351e-14,2.3913527797914587e-15,5.718568117416337e-30,(1.1865109989210342e-14+0j),1.4251593720678603e-14,8.308018646772118e-15,1.0581021121699992e-14,1.1195800797786136e-28,(8.437598204773542e-15+0j),calm
8.400798988380791e-15,9.283128333813556e-15,3.278808462074163e-15,1.0750584930969139e-29,(4.613895078277112e-15+0j),1.7068647974213368e-14,1.6853342985733892e-14,2.8864662117982976e-15,8.331687191853216e-30,(1.9483008900553774e-14+0j),1.274560287608151e-14,1.473034429378295e-14,3.384991666325805e-15,1.145816858109515e-29,(1.2653324358072683e-14+0j),9.326786690910597e-15,1.0115878809978386e-14,2.1992226494683273e-15,4.836580261934489e-30,(1.176587065804621e-14+0j),1.116190127707516e-14,1.0577973781803437e-14,1.6852141306196572e-15,2.8399466660401673e-30,(1.0351241965102397e-14+0j),calm
