theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.7731947317543314e-14,1.5532618498517708e-14,1.0943265992166995e-14,1.1975507057531868e-28,(5.6021430804814736e-15+0j),1.448065763982199e-14,1.1689843246537172e-14,9.827216526541315e-15,9.657418465952676e-29,(6.1016552146139834e-15+0j),1.2907322974907312e-14,8.906009860751809e-15,9.909970224879862e-15,9.820750985800542e-29,(9.44048555079702e-15+0j),9.946015774341615e-15,7.797674444355488e-15,6.2240870180819165e-15,3.873925920865584e-29,(9.958345559313581e-15+0j),4.254864347211899e-15,3.951020389032177e-15,1.4723625600322885e-15,2.1678515081848343e-30,(4.172755834979165e-15+0j),bored
1.8099278895878e-14,1.8450667516936815e-14,8.83596510151436e-15,7.807427927517966e-29,(1.2405923458754579e-14+0j),1.2257945370158912e-14,1.0509567241812348e-14,4.916191098519236e-15,2.4168934917159776e-29,(1.0323962979301484e-14+0j),9.3488971125986e-15,7.14685871093673e-15,6.568678203606546e-15,4.3147533342535723e-29,(7.67875556575131e-15+0j),7.136142139893582e-15,6.565401334025497e-15,2.3069798286755987e-15,5.3221559299160944e-30,(6.565401334025497e-15+0j),4.513481664219513e-15,4.1094742686612124e-15,1.3789027919218544e-15,1.901372909569885e-30,(5.784506670897396e-15+0j),bored
1.879300803968681e-14,1.6819708463961347e-14,8.694756264727516e-15,7.55987865030184e-29,(7.589272110545561e-15+0j),1.636274037072794e-14,1.6603882110452456e-14,8.55013053513388e-15,7.310473216782879e-29,(1.3129644509120135e-14+0j),8.834934805220025e-15,8.507197497794589e-15,3.627603395194001e-15,1.315950639282304e-29,(1.1037843676232919e-14+0j),7.666691710296938e-15,6.873726970783978e-15,1.799468366911088e-15,3.238086403513658e-30,(6.873726970783978e-15+0j),3.4685391924209805e-15,2.5443801600683194e-15,2.3629012331503365e-15,5.583302237623381e-30,(9.282601740679165e-15+0j),bored
1.4595995832387717e-14,1.3745689713836236e-14,7.272829784674033e-15,5.289405307684175e-29,(8.150005544830296e-15+0j),1.470735128293657e-14,1.5123839911256663e-14,6.3009067427189754e-15,3.970142578044145e-29,(1.3050982088692599e-14+0j),1.2377697398403375e-14,1.1228859766926125e-14,4.403883928822918e-15,1.9394193658544777e-29,(1.9543900976268186e-14+0j),1.1065467619711923e-14,9.49010056390826e-15,4.66388333954286e-15,2.1751807804865464e-29,(7.726602520804503e-15+0j),3.140572622250149e-15,2.5930319984958733e-15,1.4194539404856045e-15,2.0148494891601104e-30,(6.712399523816406e-15+0j),bored
1.3639690680865352e-14,1.306914295175202e-14,8.746437315058638e-15,7.650016570625016e-29,(2.7121734986260308e-14+0j),1.2485371619480296e-14,1.0337371974157688e-14,8.333262459482957e-15,6.944326321862794e-29,(1.8324807736830297e-14+0j),8.990849998180582e-15,7.014796237396424e-15,5.958798607163383e-15,3.5507280840732273e-29,(2.7186609151982946e-14+0j),9.32807371364155e-15,8.212784289325872e-15,2.883470602125612e-15,8.314402713322638e-30,(1.1184638465892455e-14+0j),4.754281294361155e-15,4.660606964553257e-15,9.012944563015058e-16,8.12331696959827e-31,(4.4868249572011236e-15+0j),bored
2.07359489745894e-14,1.3828366860751283e-14,1.4977787217686615e-14,2.243341099382965e-28,(8.712629232494406e-15+0j),1.540313921562222e-14,1.1505597788860183e-14,8.777543488026455e-15,7.704526968419562e-29,(6.285750595285384e-15+0j),1.1352192472936849e-14,1.0934376750016452e-14,6.643569850344827e-15,4.413702035641079e-29,(2.8573636138582253e-15+0j),8.546813386592949e-15,8.02911201803718e-15,2.5816995657982434e-15,6.665172648042838e-30,(9.355539777062849e-15+0j),5.347895270324918e-15,5.624291335633998e-15,1.7132209232830185e-15,2.9351259319747184e-30,(5.856337490771844e-15+0j),bored
1.964423934525079e-14,1.1920061309584107e-14,1.8462565423991614e-14,3.408663220351706e-28,(7.598931905112756e-15+0j),1.5506444487262327e-14,1.0255481186380105e-14,1.4449054608378404e-14,2.0877517907590117e-28,(1.0580831316853085e-14+0j),1.0330065526208292e-14,7.572728539644019e-15,7.4628768500969e-15,5.569453087971223e-29,(4.536055165405283e-15+0j),8.768014822086147e-15,8.428805390159033e-15,3.4566284329011273e-15,1.1948280123140504e-29,(4.6710587259999104e-15+0j),5.721705384958379e-15,4.94684523905944e-15,2.5643388877716363e-15,6.575833931337873e-30,(8.970638470904152e-15+0j),bored
1.6458510845177736e-14,1.6717471665161184e-14,8.503494230935974e-15,7.23094141355614e-29,(1.8445149281425256e-14+0j),1.1917126145613337e-14,1.0054617738408417e-14,6.720138026708668e-15,4.5160255098015864e-29,(3.783610180342892e-15+0j),1.0037580690417933e-14,1.0061006505332386e-14,4.354045012198813e-15,1.8957707968253367e-29,(1.0421132956860238e-14+0j),8.390131339860294e-15,8.633265647338636e-15,2.885234186295965e-15,8.32457630977094e-30,(7.2159475378619e-15+0j),7.769836658019354e-15,7.459634900189601e-15,1.7362877040109294e-15,3.014694991099545e-30,(5.090072038556562e-15+0j),bored
2.1434222965486736e-14,2.086118379780202e-14,8.117338366200947e-15,6.589118215139786e-29,(2.0486042659103203e-14+0j),1.6520057580201022e-14,1.8798368443144636e-14,7.39014770342269e-15,5.461428307840365e-29,(1.108326735424022e-14+0j),8.749019546301257e-15,8.39359745725654e-15,3.3099200228713503e-15,1.0955570557804679e-29,(6.651055267175613e-15+0j),9.550195042767287e-15,9.136752491113399e-15,3.8661196705175975e-15,1.4946881306763096e-29,(9.925215844137189e-15+0j),7.0672667551885724e-15,5.497715462607003e-15,2.9246312157721104e-15,8.553467748268652e-30,(5.22635897346186e-15+0j),bored
1.8438402965938405e-14,1.6197998798517327e-14,1.402936792921543e-14,1.9682316449329845e-28,(1.1472687875792654e-14+0j),1.502465778670583e-14,1.454850468911137e-14,7.017234572522448e-15,4.9241581045804304e-29,(6.039758613269107e-15+0j),1.0621315637718986e-14,9.748737943834193e-15,5.582295532001891e-15,3.116202340660827e-29,(9.863134268327182e-15+0j),1.0789812341692102e-14,1.1173484205214376e-14,3.865198049529456e-15,1.493975596208631e-29,(1.4900790530215393e-14+0j),5.038003361593979e-15,4.721092825762572e-15,2.1422808212842072e-15,4.5893671172421366e-30,(2.8824768854946556e-15+0j),bored
1.2640190790713917e-14,1.2429579540698068e-14,5.396154582597951e-15,2.9118484279292863e-29,(2.1007511773069068e-14+0j),1.1549613271125462e-14,1.112918558506432e-14,5.4970998613782395e-15,3.0218106885964663e-29,(1.4978411880700557e-14+0j),9.170725800923747e-15,8.920168286138746e-15,2.800344610257309e-15,7.84192993619716e-30,(8.58867666425344e-15+0j),7.17918414750699e-15,7.024229595580713e-15,2.596907843275367e-15,6.743930346465116e-30,(1.1119617773479399e-14+0j),4.110018085782483e-15,4.185404652191808e-15,1.6178216270154738e-15,2.6173468168389945e-30,(3.917180580609507e-15+0j),bored
1.642341019627436e-14,1.5553734750288226e-14,1.3659100315998747e-14,1.865710214425171e-28,(6.377139416937546e-15+0j),1.435726282625474e-14,1.3749364925106718e-14,6.764668790645876e-15,4.5760743847138336e-29,(1.637877355114939e-14+0j),1.05108186215355e-14,1.0072121950529363e-14,4.188409975848389e-15,1.7542778125786303e-29,(9.57032673563934e-15+0j),8.455059567587148e-15,8.138108079624684e-15,1.6517251050306518e-15,2.7281958225885176e-30,(4.36704283641722e-15+0j),4.257392008044634e-15,3.72311563091895e-15,1.7714411503822808e-15,3.1380037492676988e-30,(3.72311563091895e-15+0j),bored
1.8166589309826176e-14,1.7749012659454e-14,9.844939340324193e-15,9.692283061466294e-29,(1.86419817438616e-14+0j),1.6812806917267956e-14,1.4000290860753343e-14,8.540166132422763e-15,7.293443756938077e-29,(1.0296529791700903e-14+0j),1.026130392029595e-14,8.962099157802433e-15,5.964457138189534e-15,3.557474895330008e-29,(1.6018173579059316e-15+0j),8.722419208566374e-15,7.312766562410967e-15,4.593592297712077e-15,2.1101090197599718e-29,(5.658167084236297e-15+0j),5.3349173730247215e-15,5.603680855401931e-15,2.0511711539907136e-15,4.207303102963596e-30,(8.153696688814325e-15+0j),bored
1.7224426564926647e-14,1.3999289237567972e-14,1.4018606611612952e-14,1.9652133133115838e-28,(1.947428930093562e-14+0j),1.3383360267027256e-14,1.245071327560486e-14,7.308051105082953e-15,5.340761095450415e-29,(1.3085214812436185e-14+0j),9.674385141726999e-15,8.430723230020264e-15,4.524099051565898e-15,2.046747222837946e-29,(4.853044475640735e-15+0j),7.398391457872314e-15,6.8618308609209245e-15,1.836551521479188e-15,3.37292149104752e-30,(6.655093543518762e-15+0j),6.451328082994135e-15,6.276229607510378e-15,2.161377605160143e-15,4.671553152087795e-30,(6.048275603431242e-15+0j),bored
2.2473656552193378e-14,2.2111145346651668e-14,1.60823047171282e-14,2.5864052501456397e-28,(2.6760772540666525e-14+0j),1.855671657902394e-14,1.5202617700632016e-14,9.68936694875463e-15,9.38838318676186e-29,(1.9953036285560556e-14+0j),8.713936526201503e-15,6.820003731481897e-15,4.343668817311667e-15,1.8867458794485737e-29,(1.3143326248614469e-14+0j),7.513233158881877e-15,6.194791002432957e-15,4.413801813963155e-15,1.9481646452944438e-29,(8.813914374346773e-15+0j),8.267951892677061e-15,8.017384328722878e-15,3.7997678604710985e-15,1.4438235793469108e-29,(9.563650455044507e-15+0j),bored
