theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
2.420234094511671e-13,2.120692794013875e-13,1.5192395001281164e-13,2.3080886587495287e-26,(1.9739995356837284e-13+0j),1.6243075500131162e-13,1.7301316075062362e-13,8.982375732611297e-14,8.068307380180432e-27,(1.1715052319419723e-13+0j),6.438752989012908e-14,5.982717916265217e-14,3.549019630798088e-14,1.2595540339790197e-27,(4.5530702439388787e-14+0j),2.9034721311663254e-14,2.624595726653235e-14,1.213853271167594e-14,1.4734397639242682e-28,(2.494214813148514e-14+0j),9.085913817876842e-15,8.994671865829317e-15,4.166444423399198e-15,1.735925913327428e-29,(1.1576640298231735e-14+0j),frustrated
3.002642741183475e-14,2.0560633159326252e-14,2.1088799749983495e-14,4.447374748949039e-28,(2.149409210335102e-14+0j),3.153843584351756e-14,1.8782939977369907e-14,2.728324463100858e-14,7.443754375954585e-28,(1.8307656305628982e-14+0j),2.10628011528365e-14,1.842259117304291e-14,1.567977343682338e-14,2.45855295030112e-28,(1.8682629020102507e-14+0j),1.4369988458094603e-14,1.3198263452387882e-14,6.62650301055207e-15,4.3910542148855647e-29,(1.1504489158670895e-14+0j),1.118445271171594e-14,8.588342906547085e-15,5.191437016408867e-15,2.69510182953402e-29,(2.1067190332623298e-14+0j),frustrated
4.389387374053563e-14,4.482864903788116e-14,1.4964799838035254e-14,2.2394523419246e-28,(7.087946914368947e-14+0j),5.072061724753033e-14,5.4683919097495605e-14,1.461104087441522e-14,2.134825154338323e-28,(4.764313427752306e-14+0j),3.0892646786804047e-14,3.58053832454142e-14,1.2020185527142708e-14,1.4448486010693103e-28,(3.478344209537771e-14+0j),1.277344928753002e-14,1.210906929831018e-14,2.28810110162297e-15,5.235406651248249e-30,(9.487851940702873e-15+0j),6.04945862747934e-15,4.8459087801777715e-15,3.9564574291885525e-15,1.5653555388981288e-29,(4.8459087801777715e-15+0j),frustrated
2.2269533264088383e-14,1.7947336392906946e-14,1.4896842237023302e-14,2.2191590863476137e-28,(2.4029555736541414e-14+0j),2.0174615071936226e-14,2.0167906784366016e-14,8.946835281606789e-15,8.004586155620403e-29,(1.720520336114689e-14+0j),1.7613528991620072e-14,1.5984197339709018e-14,7.179664323313083e-15,5.15475797954547e-29,(2.0172964531173925e-14+0j),1.762551539759599e-14,1.7286184076471867e-14,4.2606392593066535e-15,1.815304689794515e-29,(1.7288935841952472e-14+0j),9.384272890663346e-15,1.0165035634272687e-14,4.03318831334572e-15,1.626660797090849e-29,(6.74725577283243e-15+0j),frustrated
8.449924380196075e-14,7.688774624238938e-14,4.8619998264492653e-14,2.3639042312392686e-27,(1.1335228729156964e-13+0j),5.009691104787693e-14,5.011574090537901e-14,2.3814911801218677e-14,5.671500240998247e-28,(9.568466110611579e-14+0j),2.786988602152967e-14,2.7224857239744992e-14,5.03853968208519e-15,2.5386882127947126e-29,(3.2470216543984544e-14+0j),1.8694369019505958e-14,1.7630645920227732e-14,6.797328579305859e-15,4.620367581504821e-29,(3.3293277361567624e-14+0j),8.053202503958238e-15,8.556128542362282e-15,3.1617438929050963e-15,9.996624444322672e-30,(1.0985861401022682e-14+0j),frustrated
5.571322826257914e-14,4.3710138082934794e-14,2.46948686596707e-14,6.098365381183861e-28,(1.0718436479708589e-13+0j),3.9316543359060026e-14,3.2153600282544464e-14,2.4478251752712133e-14,5.991848088691546e-28,(9.17221624616915e-14+0j),2.630892020890911e-14,2.6347159038300304e-14,1.0660794147276355e-14,1.1365253185060176e-28,(5.293616633848355e-14+0j),2.2348357095776574e-14,2.047685019064069e-14,7.15841563508807e-15,5.124291440467333e-29,(3.571879441095167e-14+0j),1.8606338025836437e-14,1.4777647833548527e-14,8.418768460784411e-15,7.087566239629833e-29,(2.8499552172728646e-14+0j),frustrated
3.470275389390355e-14,3.1946554079482596e-14,2.2094007441506376e-14,4.881451648253391e-28,(3.579225096879336e-14+0j),3.584445014235974e-14,3.78372580774394e-14,1.2571413645242443e-14,1.5804044103978788e-28,(4.93311081068952e-14+0j),3.633345908391088e-14,3.874078795082757e-14,1.1667230603286561e-14,1.361242699502665e-28,(5.072048829794069e-14+0j),2.0165825627767482e-14,2.0259730746580843e-14,6.106492361453064e-15,3.7289248960484624e-29,(1.2639709042841588e-14+0j),1.6667253916402654e-14,1.653344521364972e-14,4.977362198748494e-15,2.4774134457530445e-29,(1.2104491721304324e-14+0j),frustrated
1.1449908063868535e-13,5.578689183734909e-14,1.4337244512126176e-13,2.0555658020049213e-26,(4.116426604680513e-13+0j),7.162965224881336e-14,4.740344158474554e-14,8.990388043191034e-14,8.082707716715232e-27,(3.047357351446311e-13+0j),3.645232132562869e-14,2.6632138258863986e-14,2.1088480805762405e-14,4.447240226950094e-28,(7.830426082242769e-14+0j),1.744670529622493e-14,1.2533191666848483e-14,9.24568454186806e-15,8.548268264773799e-29,(2.7594857340096038e-14+0j),7.889123911855297e-15,6.27014830380266e-15,3.868998736161904e-15,1.4969151220422413e-29,(1.0102338477903236e-14+0j),frustrated
4.991553864823044e-14,3.8645767338707435e-14,4.644182993439085e-14,2.156843567654882e-27,(4.6550861502838846e-14+0j),5.1330399537324475e-14,2.985169110887968e-14,6.140184217325554e-14,3.770186222269383e-27,(3.680369292349218e-14+0j),3.522152666083165e-14,2.579249391297764e-14,1.9221982641912598e-14,3.694846166859892e-28,(2.1788324390936957e-14+0j),2.243818151506978e-14,2.327801040781478e-14,8.754069075814383e-15,7.663372538412968e-29,(1.7999347943670238e-14+0j),8.29745519082285e-15,6.753112873610104e-15,3.471351722863078e-15,1.2050282783824459e-29,(1.0470971700378925e-14+0j),frustrated
3.1138674113909185e-14,3.329038023065182e-14,1.1568022910483246e-14,1.3381915405746525e-28,(2.410440083577652e-14+0j),2.782904486380639e-14,2.4388239921838783e-14,1.3455874091995383e-14,1.8106054757963255e-28,(1.640394669228218e-14+0j),2.3643537148953383e-14,1.531376970760102e-14,1.4082166103179076e-14,1.9830740215752579e-28,(1.742541890339609e-14+0j),1.8170292372141962e-14,1.936076112833656e-14,7.174240074753221e-15,5.146972065019511e-29,(1.5868006022171152e-14+0j),8.803481163988114e-15,7.92621066301687e-15,3.898473578688877e-15,1.519809624373526e-29,(7.773160106770827e-15+0j),frustrated
2.778672970678176e-14,2.8717121090053556e-14,6.884509046250861e-15,4.739646480790994e-29,(3.60559842707575e-14+0j),1.3614725099562507e-14,1.6057600106941657e-14,6.861122472874553e-15,4.7075001587784224e-29,(1.3308427170006353e-14+0j),2.1388276467075605e-14,2.3632008760163964e-14,8.875376067981689e-15,7.877230034810209e-29,(1.8421303096011533e-14+0j),1.58452471514922e-14,1.5407799589675053e-14,2.231906678693093e-15,4.981407422394834e-30,(1.3752709444834115e-14+0j),6.333401382954074e-15,6.448778644753603e-15,2.176098483005684e-15,4.73540460773964e-30,(7.322231971712831e-15+0j),frustrated
3.288535711953774e-14,3.2637082344916855e-14,7.124227987374917e-15,5.075462441609607e-29,(4.5009002690677256e-14+0j),2.79713559836021e-14,2.1641774885071333e-14,1.6469913159167333e-14,2.7125803947051327e-28,(8.275368760323449e-14+0j),1.582072276073951e-14,1.148780048126098e-14,9.272610786437953e-15,8.598131079676549e-29,(1.2671460132340333e-14+0j),1.3189241096456398e-14,1.3170149834291322e-14,3.4489390588118707e-15,1.1895180631398113e-29,(1.319144214898633e-14+0j),7.598169379136709e-15,8.432349224258061e-15,2.633666740815746e-15,6.936200501679034e-30,(9.428268252569452e-15+0j),frustrated
2.4104855153933855e-14,2.107817524114273e-14,1.1566043632206978e-14,1.337733653021156e-28,(2.3503995419852127e-14+0j),1.4712851710847777e-14,1.585317994608954e-14,6.725589164964989e-15,4.5233549615894456e-29,(2.3125993384362644e-14+0j),9.412209392823127e-15,9.694063897356823e-15,2.6986432379723922e-15,7.282675325854118e-30,(1.2062118511990683e-14+0j),1.6080416930804428e-14,1.3535071906910106e-14,7.2658041795478e-15,5.279191037553427e-29,(1.3535071906910106e-14+0j),9.820707147057643e-15,9.953243393647443e-15,1.7025996228506131e-15,2.89884547573105e-30,(4.225253025358089e-15+0j),frustrated
5.728881045603224e-14,5.575878181693703e-14,2.934127757155438e-14,8.609105695309998e-28,(5.575878181693703e-14+0j),5.319991933702903e-14,5.3198297228404275e-14,1.5878641968021418e-14,2.5213127074861108e-28,(5.878910738661163e-14+0j),3.472841577259179e-14,3.238461460543114e-14,1.229787820334096e-14,1.5123780830420868e-28,(3.3118027897797217e-14+0j),1.0792807953922358e-14,1.0090394963150694e-14,4.085983253620486e-15,1.6695259148867052e-29,(1.2860684112191809e-14+0j),5.035210596113351e-15,4.74831418181042e-15,1.6344257920321854e-15,2.6713476696600366e-30,(5.271375338262751e-15+0j),frustrated
6.121667676392732e-14,4.545919509210348e-14,4.3534064907921125e-14,1.8952148074070896e-27,(3.4894962773905674e-14+0j),3.24602455331758e-14,2.8375859631801017e-14,1.1836737442235561e-14,1.4010835327642125e-28,(2.6382388345141195e-14+0j),1.6605406666522878e-14,1.439713561211632e-14,5.276401672999508e-15,2.7840414614832005e-29,(1.8568069495753483e-14+0j),1.1920823456863432e-14,1.2699961979510418e-14,4.642066675774585e-15,2.1548783022336902e-29,(7.21098311003921e-15+0j),7.70439337633698e-15,6.218603301806624e-15,4.091947502863383e-15,1.6744034366189876e-29,(6.6505780955432455e-15+0j),frustrated
4.400333087353899e-14,3.4894962773905674e-14,2.605997393719874e-14,6.791222416074776e-28,(1.6929770318453552e-14+0j),3.316170303484393e-14,2.855443258227361e-14,1.3247449285348848e-14,1.7549491256788971e-28,(1.9240480084947963e-14+0j),1.7232427104835823e-14,1.570211947215617e-14,1.0099463471266595e-14,1.019991624074483e-28,(1.4265629097650728e-14+0j),1.7357888276065196e-14,1.4345367652059258e-14,9.950399776160854e-15,9.901045570542196e-29,(4.078282072966821e-14+0j),5.7008710763698385e-15,6.328392591774723e-15,1.8406534667852595e-15,3.388005184788594e-30,(8.234804860095906e-15+0j),frustrated
3.6336728387429636e-14,3.1175585839617244e-14,2.4992695867786925e-14,6.246348467396936e-28,(6.797063626892993e-14+0j),2.96192989045893e-14,2.859677265515813e-14,1.3435420536235874e-14,1.8051052498550867e-28,(4.7704154660951765e-14+0j),1.9213116301215456e-14,1.8533854861716827e-14,8.892475137089348e-15,7.907611406375221e-29,(2.5027357770595264e-14+0j),1.963376526520785e-14,1.8910712619987924e-14,1.06094155017291e-14,1.1255969728832975e-28,(1.4079373391596977e-14+0j),1.692452417590052e-14,1.1813989813637791e-14,9.557988865292769e-15,9.135515114906055e-29,(3.0486524743243514e-14+0j),frustrated
3.9230102011394945e-14,2.777150960759061e-14,2.599877800380079e-14,6.759364576909158e-28,(4.1109691121458137e-14+0j),2.718323833517939e-14,2.2883874901324534e-14,1.59762105565764e-14,2.552393037480632e-28,(2.3441389589120682e-14+0j),1.7937648187787557e-14,1.194960501003978e-14,8.407819055697261e-15,7.069142127334597e-29,(1.194960501003978e-14+0j),1.8025917614055112e-14,1.5334199311227315e-14,4.838859577996221e-15,2.341456201556576e-29,(1.935794900077532e-14+0j),1.4071132170602302e-14,1.0802553204163724e-14,8.005174163701296e-15,6.408281339119075e-29,(6.14561435425596e-15+0j),frustrated
3.066766730706838e-14,3.070444315569764e-14,1.5353668447920193e-14,2.3573513480866006e-28,(6.433549098877214e-14+0j),1.6622587468462635e-14,1.9505772949642424e-14,8.353378883376351e-15,6.977893876923792e-29,(2.6206904707988726e-14+0j),1.789249905985684e-14,1.902357030888962e-14,6.2017753799273834e-15,3.8462017863073437e-29,(2.2300492173613852e-14+0j),1.265596122971607e-14,1.3164850614274881e-14,2.5026798190200706e-15,6.2634062765303336e-30,(1.1322283097235696e-14+0j),6.836872449851189e-15,6.4886039224287046e-15,1.3396235156931837e-15,1.794591163798166e-30,(9.974712594492296e-15+0j),frustrated
