theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
7.035154412093336e-14,6.537824457954898e-14,3.773857172974726e-14,1.4241997962012788e-27,(2.6507608940198907e-14+0j),9.010092237066995e-14,8.214137686705124e-14,5.427877413259524e-14,2.94618532133729e-27,(6.898512938198462e-14+0j),1.0726499282890636e-13,9.768940478134727e-14,7.092260170783455e-14,5.030015433008136e-27,(1.4734337362639713e-13+0j),8.809216886689705e-14,5.906042069330461e-14,5.3006408248547904e-14,2.8096793154117274e-27,(1.8942354701555047e-13+0j),7.726610515320648e-14,7.409858704570691e-14,3.3742418538901205e-14,1.1385508088543838e-27,(1.2304276132455394e-13+0j),frustrated
1.0062539616628478e-13,9.852951990663443e-14,5.2746454210629355e-14,2.7821884317940193e-27,(9.852951990663443e-14+0j),1.2220664172100007e-13,1.232481995708712e-13,4.449963702613368e-14,1.980217695457648e-27,(1.8663716876357283e-13+0j),1.6105857767084385e-13,1.2112201555947092e-13,1.0512647714954911e-13,1.105157619787467e-26,(3.911493697790925e-13+0j),2.1125945224570833e-13,2.1923615200872762e-13,5.193066301643102e-14,2.6967937613261163e-27,(2.9469741326944873e-13+0j),8.994250701101378e-14,8.155701265719143e-14,4.0444208413277244e-14,1.635733994176606e-27,(9.46339380807484e-14+0j),frustrated
9.933370593150172e-14,9.463938930653541e-14,4.7763247858804474e-14,2.28132784602159e-27,(2.3731342812924393e-13+0j),1.3382544808529687e-13,1.0677315132584164e-13,5.1909339285469995e-14,2.6945795050540385e-27,(2.6827065863330157e-13+0j),1.185377010906773e-13,1.21847356760589e-13,5.1844814255259007e-14,2.6878847651623077e-27,(9.975522755837966e-14+0j),1.2298352577897486e-13,1.325326216242042e-13,3.294110799336752e-14,1.0851165958307017e-27,(1.5112757022129313e-13+0j),1.2842450464050065e-13,1.0316657051859401e-13,4.17339947509776e-14,1.741726317874626e-27,(9.756460227553233e-14+0j),frustrated
7.80678250153995e-14,4.990085689276353e-14,5.382677056850019e-14,2.897321229833958e-27,(2.4899430038938864e-14+0j),5.730890332367203e-14,2.2643220874267833e-14,6.638038230347176e-14,4.406355154755067e-27,(2.2643220874267833e-14+0j),4.96076840496238e-14,3.6348973418846846e-14,3.159246629462086e-14,9.980839265767552e-28,(3.6348973418846846e-14+0j),1.501212231772373e-13,1.57943073444475e-13,1.96940287093815e-14,3.878547668059428e-28,(1.0475767106593692e-13+0j),1.0578298635780212e-13,1.095931996253973e-13,1.362892038003031e-14,1.8574747072520552e-28,(1.095931996253973e-13+0j),frustrated
7.118760941004467e-14,7.350060239255298e-14,4.7731583276068356e-14,2.2783040420402482e-27,(9.126723538407681e-14+0j),8.639656932523426e-14,7.523750104819817e-14,5.936036537359486e-14,3.52365297728668e-27,(9.95437642732671e-14+0j),1.1502961837210316e-13,1.3088127308964008e-13,5.638530816068311e-14,3.1793029763751975e-27,(1.3171189129040794e-13+0j),1.0639453868224962e-13,1.0001965907869385e-13,1.8399304561635468e-14,3.3853440835181972e-28,(1.0001965907869385e-13+0j),7.523940916178959e-14,8.073490989852695e-14,3.2130073627022724e-14,1.0323416312779011e-27,(6.623965511205749e-14+0j),frustrated
3.877526669531356e-13,3.5220680673389273e-13,3.4463335776211825e-13,1.187721512823922e-25,(1.069178619723989e-12+0j),1.6051415455961668e-13,1.480930918112821e-13,8.04175860685078e-14,6.46698814908586e-27,(2.457472417771969e-13+0j),8.70650893369906e-14,8.950249183122283e-14,3.214839241242236e-14,1.0335191347030956e-27,(3.2551365219621695e-14+0j),7.562380393689623e-14,7.485225416664105e-14,2.5127786942509502e-14,6.31405676628151e-28,(6.059969183923676e-14+0j),6.305396648688081e-14,7.307200201521764e-14,3.0400380706798245e-14,9.241831471182709e-28,(8.004691675907802e-14+0j),frustrated
2.0573203865724924e-13,3.010558074909659e-14,2.9086022398277763e-13,8.459966989531157e-26,(4.948331251579782e-15+0j),1.1335896302693193e-13,2.6845564460083342e-14,1.2482026298930285e-13,1.5580098052718727e-26,(1.3865297408001693e-14+0j),9.015005876151369e-14,1.6296779446730728e-14,1.1309985160187675e-13,1.2791576432366544e-26,(9.637217749845509e-15+0j),3.263075922030223e-14,1.0809455606968304e-14,4.040447118780407e-14,1.6325212919660893e-27,(7.052687638249898e-15+0j),2.57154072364817e-14,6.817882070102814e-15,3.587776633756017e-14,1.2872141173725656e-27,(4.568556059273152e-15+0j),frustrated
5.7627253519916605e-15,4.948331251579782e-15,2.9205903382615402e-15,8.529847923946658e-30,(1.1257732876689719e-14+0j),4.704219621738808e-15,2.545227784099936e-15,3.6054362518655144e-15,1.2999170566266052e-29,(9.122637178259142e-15+0j),3.631282595406022e-15,2.8988609388543004e-15,2.16414501806331e-15,4.683523659208244e-30,(5.117601146011022e-15+0j),4.699483321379408e-15,4.898407221126296e-15,2.2160459372015228e-15,4.910859595787376e-30,(9.53224085378711e-15+0j),3.41481796145546e-15,2.880116767398423e-15,1.883300907929082e-15,3.546822309806505e-30,(7.363471024297157e-15+0j),frustrated
4.570796951259636e-15,2.454963083304684e-15,3.4974139585312158e-15,1.2231904397328987e-29,(2.1940908414129666e-15+0j),4.171206853744272e-15,2.3055134990211163e-15,3.9035425898128576e-15,1.5237644750482874e-29,(1.845580276789864e-15+0j),4.280400834450633e-15,2.5554411096876282e-15,3.1709126570104637e-15,1.0054687078389158e-29,(1.9163946416264244e-15+0j),4.0979732655569074e-15,3.4363277729854413e-15,1.7647778220569344e-15,3.114440761224017e-30,(4.9654925472928144e-15+0j),2.3320360976103347e-15,1.3597540019962403e-15,2.0935218779779616e-15,4.382833853572371e-30,(1.3597540019962403e-15+0j),frustrated
3.895116489545016e-15,3.416308923231392e-15,1.844705746409537e-15,3.4029392908363676e-30,(1.8352346014664226e-15+0j),2.0833479810655122e-15,2.155077459673665e-15,1.3575096076545346e-15,1.8428323348743683e-30,(2.0639516351734618e-16+0j),2.3041016041831107e-15,2.035157534146398e-15,1.0472166342034713e-15,1.096662678952447e-30,(1.3089885457496824e-15+0j),3.257940442642029e-15,3.406376374977645e-15,1.184024014553161e-15,1.4019128670385837e-30,(3.9949145878903746e-15+0j),2.548498268913857e-15,2.631866104138804e-15,3.9227235178237844e-16,1.5387759797287808e-31,(1.7727274218376974e-15+0j),frustrated
