theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
2.961679573216057e-14,6.239300749824319e-15,3.411979068932181e-14,1.164160116683131e-27,(6.895465744610029e-14+0j),2.1946321693548724e-14,9.481785984022993e-15,2.0311043621766274e-14,4.125384930052924e-28,(5.340522349444345e-14+0j),1.4139020540271322e-14,1.1025217721295033e-14,5.12457205666945e-15,2.6261238763997353e-29,(2.3080685234413988e-14+0j),2.6789960700781597e-14,2.3068001551474502e-14,8.375134797987906e-15,7.014288288446793e-29,(2.8051720168050932e-14+0j),4.680669659811851e-15,4.927951372666749e-15,1.0505830169226446e-15,1.1037246754462856e-30,(5.855818940246485e-15+0j),calm
4.289751323474241e-14,2.966874496612031e-14,1.7702538487356368e-14,3.1337986889633343e-28,(2.5878864206713653e-14+0j),3.2411815017072053e-14,2.6221336675198513e-14,1.361261094577229e-14,1.8530317676095955e-28,(1.974847351346654e-14+0j),1.5356875125654925e-14,1.451572120425225e-14,4.235754588293012e-15,1.7941616932245298e-29,(1.821226159377647e-14+0j),2.0805530468032436e-14,1.9541155675468018e-14,2.9613272347309227e-15,8.769458991159093e-30,(1.9541155675468018e-14+0j),4.215903832272291e-15,4.229227532786311e-15,2.1935313735772757e-15,4.8115798868678105e-30,(1.6287943557719848e-15+0j),calm
2.686659889472414e-14,2.5878864206713653e-14,1.0940197115566754e-14,1.1968791292745512e-28,(5.063948680128834e-14+0j),1.6288128731179136e-14,1.7867400400349154e-14,3.7681111878575e-15,1.4198661924056858e-29,(1.7867400400349154e-14+0j),1.26389621532569e-14,1.2178920806769236e-14,3.9722297236905685e-15,1.577860897777085e-29,(1.2178920806769236e-14+0j),1.1645686502769596e-14,8.641615727373036e-15,4.994809221885058e-15,2.4948119163028017e-29,(8.641615727373036e-15+0j),3.695655064159248e-15,3.3381047530396884e-15,1.6967884192991501e-15,2.8790909398677085e-30,(6.771441997404229e-15+0j),calm
3.350626644651266e-14,3.081815724188904e-14,1.3467192729798931e-14,1.8136528002154919e-28,(1.520307069196248e-14+0j),2.1938537079579232e-14,2.376278434667209e-14,3.4221799736885948e-15,1.171131577231527e-29,(1.4206594633978735e-14+0j),1.496336721609467e-14,1.1103419233624788e-14,4.736499877464638e-15,2.2434431089222526e-29,(2.184114101919469e-14+0j),1.6625653022737266e-14,1.6007265622592168e-14,1.4061059166420533e-15,1.9771338488157887e-30,(1.762229066238903e-14+0j),8.045812937710892e-15,7.345827910484244e-15,1.7780916399294137e-15,3.161609879986872e-30,(1.2187865703700102e-14+0j),calm
7.206971361247192e-14,1.0018425245577927e-13,3.5682017868346665e-14,1.2732063991570108e-27,(1.0018425245577927e-13+0j),4.478573622202972e-14,6.392830226996823e-14,2.2247061396674404e-14,4.949317407874006e-28,(6.392830226996823e-14+0j),2.338556905508636e-14,2.3208138032876952e-14,2.421265096811421e-15,5.86252466903722e-30,(2.5632575385411388e-14+0j),3.7369550329848185e-14,2.5529867072336435e-14,1.3748475866541848e-14,1.8902058865288363e-28,(5.3244603435692245e-14+0j),1.0987651058980873e-14,1.0936982190674763e-14,7.863234923390169e-16,6.18304634604228e-31,(9.343729537173187e-15+0j),calm
6.660121873919254e-14,6.299639019297364e-14,1.5370149613625123e-14,2.3624149914522053e-28,(7.301896294517861e-14+0j),3.6831655700508785e-14,3.465899823363805e-14,2.2855808470871646e-14,5.223879808571681e-28,(3.465899823363805e-14+0j),2.4570183285108507e-14,2.3172393130175522e-14,1.2532164939807024e-14,1.5705515807852837e-28,(8.724524276044103e-15+0j),2.108507064492166e-14,1.152163409672366e-14,1.4834723501160623e-14,2.200690213558873e-28,(2.7501115938561942e-14+0j),6.2877284022500944e-15,4.698998583246237e-15,2.6596353539110734e-15,7.07366021577368e-30,(1.0418707315901564e-14+0j),calm
1.1539626021663273e-13,7.722458113340333e-14,7.583253486837617e-14,5.750573344563487e-27,(2.868439860929583e-13+0j),4.7057562804966284e-14,4.6989622563731365e-14,2.922359017071367e-14,8.540182224658325e-28,(1.5583178501915096e-14+0j),2.4532727131294975e-14,2.3204051048908118e-14,1.2593109518429982e-14,1.5858640734317182e-28,(2.3204051048908118e-14+0j),2.2366562911963067e-14,1.6633882040194012e-14,6.8607873913980805e-15,4.707040362996688e-29,(2.868367650467428e-14+0j),1.0940059232015248e-14,1.056662516837181e-14,2.0266829137144812e-15,4.1074436327422196e-30,(1.2776846982911174e-14+0j),calm
1.6311175447648743e-13,3.922032930623541e-14,1.6953757009749089e-13,2.8742987674561633e-26,(1.2089986901869652e-14+0j),5.962559906717901e-14,1.2891781037000426e-14,7.514647906695306e-14,5.646993316160014e-27,(1.0335262525178475e-14+0j),2.924402209907256e-14,1.8776063024266392e-14,2.5413916811171117e-14,6.45867167685126e-28,(7.61230762363983e-15+0j),3.0421626406344324e-14,3.0084029329426197e-14,1.754596202140203e-15,3.0786078325648243e-30,(3.34558934640412e-14+0j),1.3886077815956443e-14,1.739324901384456e-14,4.756957105449528e-15,2.2628640903086753e-29,(6.844778349914742e-15+0j),calm
4.814349803245583e-14,3.3196821376810516e-14,2.6943573216293332e-14,7.2595613766175935e-28,(7.843233072641365e-14+0j),2.7576825534542766e-14,1.4851992270861137e-14,2.1709942424472438e-14,4.7132160007390825e-28,(7.887097347162635e-14+0j),1.6357107575435495e-14,1.0555098881082287e-14,8.053483030528614e-15,6.485858892301236e-29,(3.3747799443197834e-14+0j),3.441592839956234e-14,3.5907851247494365e-14,4.21281474926177e-15,1.7747808111597504e-29,(2.5639811815986327e-14+0j),9.73674891791757e-15,9.2770452890357e-15,1.3836213588894526e-15,1.9144080647750956e-30,(7.810681510090758e-15+0j),calm
1.1303079646256286e-13,1.0783744485369836e-13,3.4174626664785285e-14,1.1679051076774536e-27,(7.710203031015086e-14+0j),7.623987607910684e-14,7.917973953616922e-14,9.958848974317532e-15,9.917867289326535e-29,(6.091638503088482e-14+0j),3.8291650309119115e-14,4.599954769467848e-14,1.2187255854612304e-14,1.4852920526578188e-28,(1.9021906845220736e-14+0j),2.2415481943655345e-14,1.7885258640434838e-14,9.704299952585374e-15,9.417343756974851e-29,(1.2131341880522964e-14+0j),8.153644725763813e-15,7.142515255356744e-15,1.5987360679030779e-15,2.555957014814195e-30,(7.142515255356744e-15+0j),calm
