theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
8.447982152809129e-15,7.088878109084513e-15,4.5450697409485165e-15,2.0657658950085817e-29,(7.214839656952218e-15+0j),6.618465327155465e-15,6.17677205263597e-15,3.056462611188872e-15,9.341963693595497e-30,(8.86901575322169e-15+0j),4.364623911190683e-15,4.6832099753892396e-15,2.2705686116423496e-15,5.155481820175468e-30,(6.8224985919379e-15+0j),5.34227081727942e-15,5.398546568628019e-15,1.1708958547496411e-15,1.3709971026698926e-30,(3.185620202836176e-15+0j),4.1394435150733114e-15,3.929437969561767e-15,8.27395110044884e-16,6.845826681261858e-31,(3.1117772952212253e-15+0j),bored
8.758913729863254e-15,8.2788043914144e-15,2.2130519593737505e-15,4.897598974887996e-30,(1.0088070606892143e-14+0j),9.51850546383764e-15,9.358565218438537e-15,4.284355079409095e-15,1.8355698446458512e-29,(1.5233601605726483e-14+0j),7.300937252025346e-15,7.73426463802797e-15,2.815529997871679e-15,7.927209168915297e-30,(1.2379660726491763e-14+0j),5.164585848748671e-15,5.315637954915425e-15,1.2957580519535542e-15,1.6789889292024696e-30,(5.743946065575656e-15+0j),3.148701924138346e-15,3.1698769008961806e-15,1.1263354189940516e-15,1.2686314760805058e-30,(4.6862140585725224e-15+0j),bored
4.516394523390659e-15,5.112305747571074e-15,1.6795822423343364e-15,2.820996508764838e-30,(5.293157602860351e-15+0j),5.73999593758686e-15,5.042101429052348e-15,3.705793309341913e-15,1.373290405156329e-29,(5.042101429052348e-15+0j),6.1682347895213795e-15,5.356655382762245e-15,3.0330221877247135e-15,9.199223591230408e-30,(4.5784591189267595e-15+0j),4.796715639861163e-15,5.360452128276473e-15,1.2534812174422863e-15,1.5712151624805963e-30,(4.05463215891972e-15+0j),2.9960829716422453e-15,2.8089486307123638e-15,9.409088944226468e-16,8.853095476036475e-31,(2.9264848017192112e-15+0j),bored
1.0836764769005843e-14,1.2209224680846839e-14,5.7737279009563925e-15,3.3335933874282306e-29,(1.2209224680846839e-14+0j),1.0378353917052054e-14,9.024662714348748e-15,4.962860058974508e-15,2.4629979964964454e-29,(1.5815106759823778e-14+0j),1.0321140392081525e-14,8.426989316137364e-15,6.453029243968492e-15,4.164158642351256e-29,(8.578489068924882e-15+0j),8.076283104056102e-15,6.698338194265528e-15,4.189667820257474e-15,1.7553316444101014e-29,(3.9066934578298016e-15+0j),3.3267359179517188e-15,2.984335671756694e-15,9.099411607719412e-16,8.279929160669877e-31,(1.8445075246222576e-15+0j),bored
1.0751828144313913e-14,8.246704121108659e-15,6.551774642592938e-15,4.292575096732382e-29,(7.157423985204391e-15+0j),1.0495237418423397e-14,9.074212777893027e-15,6.460740026563121e-15,4.1741161690834837e-29,(1.0061332265996731e-14+0j),6.294426646491903e-15,6.093929137058269e-15,2.3374979274475248e-15,5.463896560821473e-30,(5.640615345107619e-15+0j),4.581008572168843e-15,3.968452771694902e-15,1.6869632100888156e-15,2.845844872193161e-30,(4.3147895405252466e-15+0j),3.4271572487461265e-15,3.2073298700418692e-15,6.527126360479356e-16,4.260337852566448e-31,(2.5934380976204395e-15+0j),bored
1.3988772058488881e-14,1.568754545339202e-14,9.102967188808537e-15,8.28640116405248e-29,(9.538969139501224e-15+0j),2.0238302674702436e-14,1.517109902333278e-14,1.9925928348272978e-14,3.970426205405087e-28,(8.773895812463531e-15+0j),1.2402188675562178e-14,1.0671148376428346e-14,6.6381115442585305e-15,4.406452487401837e-29,(9.198963493255929e-15+0j),4.0032345801842315e-15,3.3311178535444033e-15,1.5026806688142281e-15,2.258049192427976e-30,(2.2641311071675836e-15+0j),3.0070723515419944e-15,2.5169915518580073e-15,1.1694254984473344e-15,1.3675559964187965e-30,(3.1715344263974826e-15+0j),bored
1.6077460032254676e-14,1.0551414117243524e-14,1.132035434856088e-14,1.281504225769812e-28,(2.5919072378231145e-14+0j),1.053989152700398e-14,9.883439132063943e-15,5.00595674943478e-15,2.5059602977211632e-29,(1.4925057017178585e-14+0j),6.699384272432898e-15,6.612842836384791e-15,1.607543311854778e-15,2.584195499489028e-30,(5.93910186033648e-15+0j),3.5057534366580862e-15,3.2270130290045137e-15,1.3135869550021527e-15,1.7255106883518276e-30,(2.9236053088856857e-15+0j),2.5503884087948255e-15,2.5499447186680657e-15,1.4213413892929608e-15,2.020211344917244e-30,(2.9497103275606195e-15+0j),bored
1.4153466871024e-14,8.184975112968234e-15,9.575939886945315e-15,9.169862471839027e-29,(3.4325018938529015e-14+0j),1.421169408234579e-14,9.571093881196414e-15,8.413787877879447e-15,7.079182645395113e-29,(2.46749104421382e-14+0j),8.987871568847753e-15,8.779199000753437e-15,3.623284389223514e-15,1.3128189765190815e-29,(1.3390488683239138e-14+0j),3.940663720910266e-15,3.3652379774484292e-15,1.317341648082025e-15,1.735389017771466e-30,(7.101776486968317e-15+0j),3.057648858245094e-15,2.637859258991356e-15,1.2033508852347332e-15,1.448053352995216e-30,(2.123803196991487e-15+0j),bored
1.7681620915227008e-14,1.3508093790412065e-14,1.0759293639566346e-14,1.1576239962241282e-28,(1.2431066494303475e-14+0j),2.1853892331529388e-14,1.9417048799016078e-14,9.747868172634286e-15,9.502093391105649e-29,(1.2168224590425967e-14+0j),1.9349101829937762e-14,1.8841052005204442e-14,8.798552875301143e-15,7.741453269947002e-29,(4.01017690867441e-15+0j),8.910292056493813e-15,7.205057294646342e-15,4.392975403192498e-15,1.929823289305429e-29,(4.573967495527817e-15+0j),1.8979110122168458e-15,2.064251089712535e-15,5.386480111898271e-16,2.901416799587561e-31,(1.834872402674924e-15+0j),bored
1.2059668843051348e-14,9.775113956955595e-15,7.693389769632754e-15,5.918824614748991e-29,(2.4646729043587708e-14+0j),9.915873326054817e-15,1.1788036651385222e-14,4.2623763746175235e-15,1.816785235889762e-29,(1.2515712660077455e-14+0j),9.956701893339845e-15,5.184016514475784e-15,9.038869711772957e-15,8.170116566640653e-29,(5.184016514475784e-15+0j),6.669914147869036e-15,6.66035021938802e-15,2.11689221021942e-15,4.481232629687661e-30,(5.340214895281563e-15+0j),2.5622699362693274e-15,2.6151993102664974e-15,6.513475826554774e-16,4.2425367343113406e-31,(2.8404526570263842e-15+0j),bored
2.014204441279234e-14,1.1620891048290604e-14,1.5332818652194524e-14,2.3509532782108428e-28,(1.1045717589339635e-14+0j),1.6894636457337657e-14,9.894166223825807e-15,1.491624562503595e-14,2.224943835464042e-28,(9.894166223825807e-15+0j),1.1524953632598665e-14,6.9211701041815e-15,1.3009657329602744e-14,1.6925118383368639e-28,(2.8769506305577497e-15+0j),4.768434799897874e-15,5.279473407523225e-15,1.8390124132425392e-15,3.3819666560601474e-30,(2.081310471140569e-15+0j),2.3299326794796708e-15,2.451025376716399e-15,7.26032374370899e-16,5.271230086346452e-31,(2.6192484111557905e-15+0j),bored
1.0385267711801885e-14,8.804848697867484e-15,6.033597795041919e-15,3.6404302352334705e-29,(1.087674087730153e-14+0j),1.037029071655199e-14,9.767255073806261e-15,5.362487232023059e-15,2.8756269313610327e-29,(1.911363836212528e-14+0j),7.75549801164271e-15,6.113650635383326e-15,2.89657262471584e-15,8.39013297025321e-30,(1.2792016227261985e-14+0j),5.435327406410851e-15,5.68307902217599e-15,1.3834666012320457e-15,1.9139798367245484e-30,(4.781733348321701e-15+0j),2.695803082023062e-15,2.4103003339926973e-15,1.2455020515274095e-15,1.5512753603589858e-30,(5.1840312749060535e-15+0j),bored
