theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
2.909939004397369e-14,2.885861778338045e-14,1.2349561663385716e-14,1.525116732777662e-28,(1.3416261325105089e-14+0j),2.295944494545137e-14,1.9582397812104e-14,1.5397384254294065e-14,2.370794418743828e-28,(1.24008587465555e-14+0j),2.192414908699141e-14,1.1530241505453406e-14,1.831737383382183e-14,3.355261841679807e-28,(9.078189823365795e-15+0j),1.8462912664487515e-14,1.66214621561917e-14,6.837540769654223e-15,4.675196377668366e-29,(5.417704686988578e-15+0j),8.832574031133949e-15,5.822597466512816e-15,6.12958328341677e-15,3.757179122834231e-29,(2.901693141642409e-15+0j),frustrated
2.0614044800032458e-14,1.3416261325105089e-14,1.792087206854222e-14,3.2115765569705673e-28,(6.3808572741237355e-15+0j),9.830472706120733e-15,8.8340952700472e-15,5.293225084682218e-15,2.801823179710907e-29,(6.6478197071876376e-15+0j),7.237901312111929e-15,5.634990130637538e-15,3.2537017205327754e-15,1.0586574886197943e-29,(5.634990130637538e-15+0j),8.479783740854518e-15,6.37200941166593e-15,5.440139713860205e-15,2.959512010631899e-29,(1.3966526124031573e-14+0j),5.770970140841616e-15,5.610591527727947e-15,2.1203073349581115e-15,4.4957031946771695e-30,(6.307746964463908e-15+0j),frustrated
2.068971899254389e-14,1.727231454099654e-14,1.2599428163662159e-14,1.5874559005128322e-28,(7.687745312837555e-15+0j),2.1687403183015564e-14,2.0441778031109696e-14,1.4365944954384043e-14,2.0638037443239236e-28,(1.0780551121316452e-14+0j),1.6585763286411578e-14,1.632673226210304e-14,8.053458466404659e-15,6.485819327010489e-29,(1.3643439696448354e-14+0j),1.1774522144920264e-14,1.1751026941622026e-14,4.749322645518589e-15,2.2556065591235688e-29,(7.768814600229734e-15+0j),3.1710252647304567e-15,2.658113812086086e-15,1.4836511288977684e-15,2.2012206722796228e-30,(4.35324399640421e-15+0j),frustrated
2.5098133088254682e-14,2.3606096126768845e-14,1.3182774828920527e-14,1.7378555219002063e-28,(4.2601712216256155e-14+0j),1.668258414761385e-14,1.4553480868392713e-14,5.9412722722790365e-15,3.5298716213351706e-29,(2.649343914769129e-14+0j),1.0254107026309793e-14,1.0186558808751463e-14,4.088141811126379e-15,1.6712903467879668e-29,(1.5988145446919004e-14+0j),6.0800043768418216e-15,5.731497611551334e-15,1.4199097311320569e-15,2.01614364456351e-30,(1.025053954355158e-14+0j),4.495123721848984e-15,3.517760956493378e-15,2.0362789020504122e-15,4.1464317669356326e-30,(4.425709176847091e-15+0j),frustrated
1.8035427284248954e-14,1.587180527503184e-14,7.54599135426705e-15,5.694198551867307e-29,(1.587180527503184e-14+0j),1.803052514857438e-14,1.6630424188690998e-14,6.698635385127297e-15,4.4871716022879533e-29,(1.7306829752369526e-14+0j),1.2000995515992705e-14,1.0131066105940002e-14,5.002073369217463e-15,2.5020737991034542e-29,(6.7751894564613235e-15+0j),8.848522800653157e-15,8.404370243407765e-15,1.800985198768519e-15,3.243547686183282e-30,(1.1300085768434447e-14+0j),5.0351141052655305e-15,4.4320702855799676e-15,1.8586853981316487e-15,3.454711409227805e-30,(8.846069294272486e-15+0j),frustrated
1.5896720223346462e-14,9.604401041201239e-15,1.0887845279556207e-14,1.1854517483155437e-28,(8.834091753302909e-15+0j),1.849211746317857e-14,1.7306829752369526e-14,1.0519935809779729e-14,1.1066904944188587e-28,(8.714776682831588e-15+0j),1.1679418026955784e-14,1.0327093907429264e-14,6.993015061065432e-15,4.890225964428797e-29,(2.3428445005347175e-15+0j),1.0847311998290839e-14,1.0952907348669792e-14,3.0788278959356316e-15,9.479181212791428e-30,(5.960011360124528e-15+0j),5.38741278062941e-15,4.446115405396549e-15,2.2532571662513984e-15,5.077167857263282e-30,(1.0146195565247115e-14+0j),frustrated
1.3035345104200961e-14,7.188050764979976e-15,9.072153665288896e-15,8.230397212661474e-29,(1.1371436246832984e-14+0j),1.1984684346447916e-14,1.2705499894272188e-14,4.4338999610373416e-15,1.965946886448694e-29,(2.1358655098932762e-14+0j),1.4332432087465213e-14,1.3846285653894566e-14,5.64420104934335e-15,3.1857005485408575e-29,(2.0790853733999517e-14+0j),7.092401985459811e-15,5.921691649977513e-15,2.7541679603246726e-15,7.585441153678967e-30,(8.432264384039365e-15+0j),3.5914124382639026e-15,3.736770953670604e-15,1.0850526641867565e-15,1.1773392840587781e-30,(4.985352784217785e-15+0j),frustrated
3.3099139193863813e-14,2.852644925252455e-14,1.451147372023806e-14,2.105828695331598e-28,(2.654739497453442e-14+0j),2.8726130245484676e-14,2.6766478971596548e-14,1.0470429975281856e-14,1.0962990386728082e-28,(2.407977526762604e-14+0j),1.5801703191435087e-14,1.576460832782463e-14,3.1000462989320226e-15,9.610287055522132e-30,(1.5205608126184244e-14+0j),1.0904377943943871e-14,8.917517241179889e-15,3.81137910671298e-15,1.4526610695088233e-29,(1.392453025327464e-14+0j),6.055688661289884e-15,5.448978932060865e-15,2.7111940089831057e-15,7.350572954345885e-30,(1.0814888861218898e-14+0j),frustrated
2.634274674941161e-14,2.1853745148838657e-14,1.580938552026051e-14,2.4993667052822276e-28,(5.909772889212169e-14+0j),2.5395851494153114e-14,3.065270239154333e-14,1.206537243555985e-14,1.4557321200876744e-28,(3.6346817479147434e-14+0j),2.099503442315932e-14,2.2179145021391256e-14,1.0303146426629067e-14,1.0615482628855931e-28,(1.407671372199458e-14+0j),9.882030345863658e-15,8.522502416838927e-15,3.1367298873216543e-15,9.839074386016919e-30,(7.0655300964216996e-15+0j),5.3878311260162355e-15,3.904757613103434e-15,2.912040421670407e-15,8.47997941744236e-30,(3.904639431742824e-15+0j),frustrated
1.6543055173981206e-14,1.7501992583368722e-14,5.8092234073910945e-15,3.37470765969806e-29,(8.309158638566592e-15+0j),1.063980104338112e-14,7.608869688980292e-15,7.190544346624138e-15,5.170392800076836e-29,(7.608869688980292e-15+0j),8.544433946832347e-15,6.038586593715868e-15,3.915960784258097e-15,1.5334748863847295e-29,(5.049183009244102e-15+0j),1.116514142473518e-14,9.86061443133585e-15,4.3205284758954434e-15,1.8666966311023406e-29,(1.1418956828809871e-14+0j),4.297145626054046e-15,3.3379239697939394e-15,1.9459224377842706e-15,3.7866141338722784e-30,(3.196067322171943e-15+0j),frustrated
