theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.636916949499224e-14,1.7399985734199367e-14,1.8899119123793785e-15,3.571767036553479e-30,(1.1876378367846747e-14+0j),2.6454993072135603e-14,3.432753240883197e-14,9.27885170337642e-15,8.609708893325149e-29,(1.2489600467555558e-14+0j),1.771390280180655e-14,1.786870416702721e-14,3.881087187563099e-15,1.5062837757466446e-29,(1.4503524104448422e-14+0j),1.3071188412308943e-14,1.2144057216458714e-14,1.9976146138304858e-15,3.99046414538912e-30,(1.734136692878628e-14+0j),1.0307984509797246e-14,1.106677008609175e-14,1.3222065442306343e-15,1.7482301456063165e-30,(1.1147168542888121e-14+0j),calm
1.0780633449486515e-14,1.2768906093775771e-14,4.235336597419245e-15,1.7938076093438832e-29,(2.537256570413458e-15+0j),1.4484184520704515e-14,1.8936536984302928e-14,5.675927614224125e-15,3.2216154281911964e-29,(3.64533962991025e-15+0j),1.0348925136048789e-14,8.03956471961208e-15,4.1993020611082106e-15,1.7634137800427665e-29,(6.16806703954061e-15+0j),9.693856859961643e-15,7.888504207943326e-15,3.452822163207505e-15,1.1921980890736953e-29,(8.411474095259367e-15+0j),4.456907877271754e-15,4.04538532958659e-15,2.3268384075213064e-15,5.4141769747162886e-30,(2.234250802738058e-15+0j),calm
1.067956341051282e-14,1.1125156418537051e-14,2.7906325418984037e-15,7.787629983902345e-30,(1.2653315382962751e-14+0j),6.446052803806292e-15,9.004287987601038e-15,3.3904477067319348e-15,1.1495135652083836e-29,(2.0427233946443412e-15+0j),3.5186976274818994e-15,2.093337215302403e-15,1.837309165304729e-15,3.375704968912761e-30,(3.844618292613832e-15+0j),8.430160383800078e-15,8.411474095259367e-15,3.2876863027072155e-16,1.0808881225008642e-31,(8.694971914464454e-15+0j),6.023033182389148e-15,5.6450428845928115e-15,2.044366656055316e-15,4.179435024390795e-30,(5.5598326196041936e-15+0j),calm
1.3225105162762858e-14,1.339048543736052e-14,3.771452932407294e-16,1.4223857221363575e-31,(1.339048543736052e-14+0j),8.979197345166415e-15,8.736235637972692e-15,1.5562761666640887e-15,2.42199550692667e-30,(6.442327884234966e-15+0j),5.722725377941461e-15,5.326066764183845e-15,1.0290878885966525e-15,1.0590218824563163e-30,(6.088404276342117e-15+0j),1.0535204409466317e-14,7.668979758457145e-15,3.3777481188721108e-15,1.1409182354544082e-29,(1.5085839809251e-14+0j),8.911300055075448e-15,5.5598326196041936e-15,3.906267727661578e-15,1.525892756017035e-29,(1.3421841677258237e-14+0j),calm
2.0706567351701812e-14,2.2669836114230045e-14,3.0575625233207414e-15,9.3486885840155e-30,(1.9828695716127037e-14+0j),2.276445834996353e-14,2.357304481131387e-14,1.122898714832685e-14,1.2609015237728957e-28,(1.4564017053396445e-14+0j),9.57120846715418e-15,1.0953162121914242e-14,1.77792852506085e-15,3.161029840225049e-30,(8.183281299240449e-15+0j),1.3142081173491638e-14,1.32268491927065e-14,3.821366350186858e-15,1.4602840782340432e-29,(7.4313603382585e-15+0j),1.2092294973288583e-14,1.3051902001021727e-14,3.2317686370525142e-15,1.0444328523436266e-29,(5.9457469120487e-15+0j),calm
1.996870051858557e-14,1.9828695716127037e-14,1.6166362077454852e-16,2.6135126281937034e-32,(2.015537358853028e-14+0j),1.3506718875564031e-14,1.2660428560506322e-14,9.772118824222803e-16,9.549430631472964e-31,(1.2660428560506322e-14+0j),9.276676612340665e-15,9.577827061843268e-15,6.91509450576486e-16,4.781853202365935e-31,(8.224140944303595e-15+0j),9.353971789980254e-15,4.915388514213036e-15,5.154519260808881e-15,2.656906881004973e-29,(1.5530262480431508e-14+0j),5.654783418398673e-15,4.976544746717737e-15,2.210394743863245e-15,4.885844923698261e-30,(9.045123231560849e-15+0j),calm
5.12369855654373e-14,5.2752590657046025e-14,2.1885468971827117e-14,4.789737521168075e-28,(8.05663910561735e-14+0j),2.086231168870573e-14,2.3189882887288724e-14,4.092796586698775e-15,1.6750983900093143e-29,(2.4749246137348956e-14+0j),5.350908060135974e-15,4.308929660254108e-15,1.9433465093698336e-15,3.7765956554799165e-30,(3.1515948465863645e-15+0j),1.2781247479405688e-14,1.4254266030597852e-14,2.711519177952447e-15,7.352336252403913e-30,(1.4254266030597852e-14+0j),8.830316792982096e-15,8.378924051631137e-15,2.021903316400349e-15,4.0880930208707294e-30,(8.693493004902117e-15+0j),calm
2.4487953392631434e-14,1.677250158870336e-14,1.808414662259735e-14,3.2703635906759917e-28,(1.2836131618863813e-14+0j),1.3481687236508644e-14,1.5617283184997302e-14,2.5263935397129384e-15,6.38266431750327e-30,(1.5617283184997302e-14+0j),8.004300420553516e-15,1.128689916330225e-14,3.796815212178816e-15,1.4415805755432463e-29,(1.128689916330225e-14+0j),1.26347195427426e-14,7.920365853794441e-15,7.08141736368281e-15,5.0146471878668395e-29,(2.2067200384483538e-14+0j),1.0793556145475196e-14,9.585655371077958e-15,1.6706937588736276e-15,2.791217635939291e-30,(1.3383365338743561e-14+0j),calm
1.1808162057244647e-13,6.635552897179557e-14,1.1320148457827085e-13,1.2814576110724492e-26,(2.9439145480473725e-13+0j),7.629660565392257e-14,1.139070534833174e-13,4.352575481949077e-14,1.894491332606424e-27,(1.139070534833174e-13+0j),5.0216167625513354e-14,4.859319221792998e-14,2.916029012777991e-14,8.503225203362984e-28,(1.0543405564011078e-13+0j),4.6427784017735384e-14,3.850053801771442e-14,2.4767379591208823e-14,6.134230918150274e-28,(8.44553611581815e-14+0j),3.039357507454339e-14,2.2561401203896333e-14,1.6464081585389e-14,2.7106598245034516e-28,(5.712512490139282e-14+0j),calm
1.8712054523846365e-13,1.977138397472021e-13,8.999047444099896e-14,8.098285490116087e-27,(1.0443695843808521e-13+0j),1.2042621504162273e-13,9.911286019616821e-14,4.415625674368861e-14,1.949775009614546e-27,(7.796723938016315e-14+0j),6.959368415509964e-14,7.587125309781205e-14,1.337643628723937e-14,1.789290477465742e-28,(3.693784153311929e-14+0j),2.7932149402736832e-14,1.992226554739079e-14,1.3348760349133897e-14,1.7818940285860931e-28,(7.807756052346906e-15+0j),2.591143516820628e-14,2.4379684999273843e-14,5.650747443196911e-15,3.193094666679643e-29,(1.5328477135285583e-14+0j),calm
