theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.4186940731115422e-14,1.2108516534990885e-14,8.444338660305535e-15,7.130685540993067e-29,(2.6701697010152283e-14+0j),1.5467943266265026e-14,1.3859329903949257e-14,7.545711889683451e-15,5.69377679221102e-29,(4.0087110797945957e-14+0j),9.630164248515815e-15,8.008268383969553e-15,4.776534467326858e-15,2.2815281517561474e-29,(2.0427338430618687e-14+0j),7.998462675620594e-15,7.293180394781808e-15,2.6550031935754483e-15,7.049041957895829e-30,(1.0512526140860037e-14+0j),3.363905923279143e-15,3.106202057031184e-15,1.7903244089362852e-15,3.2052614892330595e-30,(7.015464619375553e-15+0j),bored
1.8787142428925574e-14,1.452809800902469e-14,1.566771701769109e-14,2.45477356546447e-28,(1.5973573088753933e-14+0j),1.2998458596408797e-14,1.158758233390992e-14,6.103569606021995e-15,3.7253561935555494e-29,(1.5846728685138626e-14+0j),9.964316481423435e-15,9.259042060326014e-15,3.8077216810222596e-15,1.449874440012698e-29,(7.658629777999144e-15+0j),6.552310956536714e-15,6.2870375608785624e-15,2.2720584439225138e-15,5.162249572599595e-30,(1.0747228886826168e-14+0j),2.2205834134147427e-15,2.0101481630809295e-15,9.73759055813258e-16,9.482066987783278e-31,(1.4498199096339013e-15+0j),bored
2.0467121768902605e-14,1.6606788209501623e-14,1.0789236397775356e-14,1.1640762204708055e-28,(1.30176321838653e-14+0j),1.5855025954663095e-14,1.5740869569262084e-14,7.858835130625156e-15,6.176128961034809e-29,(1.3522784563650551e-14+0j),1.0875082185197335e-14,1.1465129479407389e-14,4.8464753707144736e-15,2.3488323518941996e-29,(1.6212919118796712e-14+0j),6.1843067214711154e-15,5.680085768645665e-15,1.8682700091472744e-15,3.490432827079156e-30,(5.23260772705621e-15+0j),2.301547692317553e-15,1.8496264041593795e-15,9.708013562761173e-16,9.424552733475486e-31,(2.265689520609547e-15+0j),bored
2.3834939655505523e-14,2.378197702931973e-14,1.2183105981088343e-14,1.4842807134643058e-28,(2.131423862631051e-14+0j),2.1697475692499414e-14,1.8537607685108213e-14,9.66376324087026e-15,9.338831997559527e-29,(2.4937767352212914e-14+0j),2.13480504500054e-14,1.6656186276474496e-14,1.2269850441329506e-14,1.505492298525939e-28,(2.4852224521416892e-14+0j),9.146634329737427e-15,7.771942713463112e-15,3.584059478277196e-15,1.2845482343828606e-29,(9.864344094418215e-15+0j),2.0678526168372746e-15,1.708886795239304e-15,7.359033617053293e-16,5.415537577692047e-31,(3.338658716335238e-15+0j),bored
2.6620704345504738e-14,1.8625810042219705e-14,1.8123275991193576e-14,3.284531326529735e-28,(1.767146896005822e-14+0j),1.9126315192155618e-14,1.635760471190069e-14,1.4046656451419705e-14,1.9730855746421084e-28,(1.3092562567354658e-14+0j),1.1609227231054897e-14,8.988877109038012e-15,8.98337642649792e-15,8.070105202015854e-29,(1.5568793267998715e-14+0j),9.03668643650955e-15,9.65240069556487e-15,2.601075352137706e-15,6.765592987498291e-30,(6.5360277139357496e-15+0j),3.253415384856344e-15,3.3074709695027387e-15,1.0129632504285037e-15,1.0260945467186794e-30,(2.4127085019071193e-15+0j),bored
1.9030657390937393e-14,1.7167639808220874e-14,9.13953263145537e-15,8.353105672143752e-29,(2.2092500624872224e-14+0j),1.5878013509294986e-14,1.5881809850656406e-14,8.558643986348159e-15,7.325038688505351e-29,(1.840857222185363e-14+0j),1.0402448015211213e-14,9.267184346392132e-15,5.756298204656396e-15,3.313496902093045e-29,(1.1199262267791228e-14+0j),6.5686122399511005e-15,5.724919504498637e-15,1.9449888006421512e-15,3.782981434623393e-30,(5.004550956891104e-15+0j),2.392849101505172e-15,2.3048469643774157e-15,1.2771411241716863e-15,1.6310894510505187e-30,(4.933948329948013e-16+0j),bored
2.2757195780641564e-14,1.947095766277643e-14,1.1811653394754676e-14,1.3951515591781964e-28,(3.284495626504399e-14+0j),2.2245671268479718e-14,2.0448481576597702e-14,9.276786072811941e-15,8.605875984071759e-29,(2.0448481576597702e-14+0j),1.4884608245141962e-14,1.4336529120556452e-14,8.256773468727168e-15,6.817430811387687e-29,(1.2945218078702608e-14+0j),7.824450360836551e-15,7.424961885912897e-15,3.250096748486704e-15,1.0563128874523845e-29,(6.121919371386833e-15+0j),3.2807234682356273e-15,2.6420993048697656e-15,2.436988103665757e-15,5.9389110174084234e-30,(5.1262628700822996e-15+0j),bored
2.6943791806755457e-14,2.1238387215997594e-14,1.687963102624905e-14,2.8492194358230956e-28,(1.964288795821732e-14+0j),2.2500280633755243e-14,1.709726443768773e-14,1.473622400772541e-14,2.171562980058627e-28,(5.052364545466064e-15+0j),1.6325532855985166e-14,1.3384362507577612e-14,1.207585540215227e-14,1.4582628369369017e-28,(5.807190631604956e-15+0j),6.8203377497082086e-15,6.235085944499774e-15,2.5443390540147486e-15,6.473661221784666e-30,(3.2675096432554757e-15+0j),2.2843865175620702e-15,2.2150878760088457e-15,7.387137885553215e-16,5.456980614017563e-31,(1.4911294544222974e-15+0j),bored
1.7826902227712533e-14,1.780495395860189e-14,1.0000898785228943e-14,1.0001797651239374e-28,(2.6063058122517145e-14+0j),1.3764061548596797e-14,1.2318931784280048e-14,6.233331554518004e-15,3.885442226854983e-29,(1.2318931784280048e-14+0j),1.0543793528426625e-14,8.64146090378252e-15,5.858794931576074e-15,3.4325478050261486e-29,(3.1756728017373933e-15+0j),5.6805589500155164e-15,5.4305180019850455e-15,1.8497206521024728e-15,3.421466490814397e-30,(5.7058404877145015e-15+0j),2.188155362342434e-15,2.0396651241601392e-15,8.150705457496429e-16,6.643399945486208e-31,(2.7700558974407106e-15+0j),bored
1.9007887448902025e-14,1.8283806377224388e-14,9.364824195068783e-15,8.769993220454569e-29,(7.29892978088018e-15+0j),1.3116589770733968e-14,1.0504718693563926e-14,8.901924869546772e-15,7.924426638305532e-29,(6.296039287311444e-15+0j),1.0852153247878336e-14,1.0071353003114402e-14,7.866001548464251e-15,6.187398036044199e-29,(2.784472014690032e-15+0j),6.108465886305819e-15,5.278690794005906e-15,3.47289740456796e-15,1.2061016382654872e-29,(6.913861927304728e-15+0j),2.4386041330904126e-15,2.475646926698738e-15,7.569859037179274e-16,5.730276584276473e-31,(2.029524792991558e-15+0j),bored
